antenna_nr0	-1.0569999478779805e-07	3.106937771132128e-10	-2.1941236329294498e-13	14.235113165776436	-0.0420718098917075	2.9867041105652492e-05	10.47682278643131	-0.031240742656450347	2.2359226126072535e-05	
antenna_nr1	-1.786821198371817e-10	1.471988019141835e-12	-5.920596890272735e-16	-0.007626661458809419	1.317950085207698e-05	-5.222816253753519e-09	5.253875358046856e-06	-8.719275748126356e-09	1.7886176484488356e-12	
antenna_nr2	-2.2247237539104396e-10	2.3043575436752356e-12	-7.59937310371923e-16	-0.013509369840625226	2.249120158288054e-05	-1.0125215321969535e-08	4.531465112974471e-06	-2.630223250202959e-09	-3.477961238634242e-12	
antenna_nr3	-6.913812575950065e-10	3.89917742531357e-12	-1.4458339106554067e-15	-0.012985982104979624	1.3605400053597838e-05	-2.8942538863665564e-09	-1.8910050454322276e-05	7.0102776725969e-08	-5.393356885133029e-11	
antenna_nr4	-1.1048832973584455e-09	4.966492238410387e-12	-1.7364660318080241e-15	-0.010415630132949459	7.935785563923703e-07	6.213129843124428e-09	-6.0522176670358235e-05	1.9040328030526755e-07	-1.3653077218158222e-10	
antenna_nr5	-1.7902639331959634e-09	5.739719421594061e-12	-2.2731388552335962e-15	-0.04519499455933616	4.011726731396005e-05	-2.568189913752514e-08	0.0005263891908664464	-1.3516890798554544e-06	8.874644248125281e-10	
antenna_nr0	1.9316090398958124e-08	-4.488397550889057e-11	2.5779637890167935e-14	7.074415811224087	-0.021965744895753495	1.6305195606394452e-05	-6.802425632169167	0.012347054896867842	-4.75983458033948e-06	
antenna_nr1	3.8700552634594117e-11	8.384583483828546e-13	-1.1497245245298653e-16	-0.01794816124980706	4.239178757591131e-05	-2.5583813333837353e-08	4.006108102063624e-05	-1.058705928246544e-07	6.88331293845391e-11	
antenna_nr2	-2.2077853174170186e-10	2.2955348837963093e-12	-7.192141527416401e-16	-0.012293144396305826	1.9893835573109904e-05	-8.657952081932273e-09	1.240309946777609e-05	-2.6937473329272273e-08	1.4637115766107418e-11	
antenna_nr3	-3.523946461684238e-10	3.013719562525254e-12	-8.25749969311717e-16	-0.019618722652776192	3.088560751778697e-05	-1.3702175430798157e-08	3.1543312451220305e-05	-6.543029703317202e-08	3.555954221568301e-11	
antenna_nr4	-1.0048292540130435e-11	2.0047151085036396e-12	3.068110955973337e-16	-0.02944048505562806	5.2459531618446666e-05	-2.8025087440068026e-08	5.2776778759060254e-05	-1.2131618504931996e-07	7.43405872016224e-11	
antenna_nr5	-9.697727742607755e-10	3.875991283453208e-12	-1.2644602381531204e-15	-0.0010666771842531393	-7.797665967699776e-05	5.1609153821522626e-08	-0.0002757178988889299	7.900868359938236e-07	-5.114309958376504e-10	
antenna_nr0	-6.146868859029465e-09	1.587719024898976e-11	-9.987509954675904e-15	14.350727969861879	-0.03962691550215017	2.6333457452556202e-05	77.06208728967418	-0.20047217761633715	0.00012725574495015175	
antenna_nr1	-1.9640319040138524e-10	1.4922058243275052e-12	-5.575404377147395e-16	-0.011647989237155152	2.4228568050500297e-05	-1.2658886763214977e-08	1.9089159307922082e-05	-4.642985565852158e-08	2.7324206097962803e-11	
antenna_nr2	-4.815986475070361e-10	2.990442504015009e-12	-1.1625558787093406e-15	-0.006163191321533353	3.879259367360668e-06	1.8082151268380872e-09	-3.6815277621459535e-06	1.6298196020527957e-08	-1.4219786709670216e-11	
antenna_nr3	-8.53362734468546e-10	4.304212285851694e-12	-1.6105146562490845e-15	-0.009955893300032635	6.8155420270444e-06	9.951269074779041e-10	-2.9174568862571254e-06	2.2880669478055124e-08	-1.975616722473221e-11	
antenna_nr4	-8.423362366193666e-10	4.2675225033132556e-12	-1.1747787431955798e-15	-0.019458595596016356	2.5507435100926396e-05	-9.934689905191116e-09	1.1578354737906864e-05	-8.36579316522816e-09	-1.7932975989084795e-12	
antenna_nr5	-4.000169816013889e-09	1.142838230740721e-11	-5.797098325737445e-15	-0.1686305598406044	0.00035537989133794964	-2.2337770054382056e-07	0.001564865007966683	-3.964185931048228e-06	2.50695585153154e-09	
antenna0	-2.1347854407317144e-08	6.586355367688343e-11	-4.817251195708545e-14	9.33268141330797	-0.027255316501936428	1.8957071980025586e-05	14.296827924836286	-0.04069560208971766	2.7191739567571756e-05	
antenna1	-2.1072226084741056e-10	1.5192251740885379e-12	-5.748948762773078e-16	-0.010069789416996813	2.0264805812334815e-05	-1.0210271442807651e-08	1.1793858074634732e-05	-2.7806747414858282e-08	1.551302151393312e-11	
antenna2	-3.9678774949152436e-10	2.7506702148187635e-12	-1.0070186091326776e-15	-0.014354318397690375	2.4853633738914324e-05	-1.1551152125262646e-08	8.892339097461943e-06	-1.5863383302934343e-08	6.1727676398060285e-12	
antenna3	-8.989243443953828e-10	4.404385293284281e-12	-1.685873092230704e-15	-0.01524987677764501	1.9753486603217693e-05	-6.820155024448488e-09	-6.2288939884396215e-06	3.386282268996436e-08	-2.8512475798702494e-11	
antenna4	-1.2617407507930181e-09	5.318235100887734e-12	-1.8516482938776662e-15	-0.015859200979213266	1.5617340655961186e-05	-3.330579227818689e-09	-2.66102933944129e-05	9.312707248131943e-08	-6.856302737667298e-11	
antenna5	-2.1353845547015175e-09	6.684254629005239e-12	-2.852816970421616e-15	-0.047882585357065396	4.599314519160772e-05	-2.8028165083755962e-08	0.0004498449679496384	-1.1320197845985955e-06	7.329420858393606e-10	
